排名,预测分,商品ID,标题,美元价格($),cat_l1,cat_l2,main_url,总销量
1,1.523011190740242,607647793256497,2张万圣节窗户贴纸，恐怖骷髅头窗户贴纸，静电贴纸,3.36,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/3a29041954d4466cb5935a8b29b37beb-goods.jpeg,7
2,1.426923861459919,607622291931980,"3Pcs 白色公主风女生房间床品，精致花朵刺绣蕾丝边装饰被套套装，120G柔软舒适透气面料，包含1个羽绒被套+2只枕套，不含被芯 枕芯，Single Double Queen King Super King size, 四季可用 可机洗",26.03,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/b277dabe-5b7a-4b5d-b63c-05680bcc0a54.jpg,88
3,1.39892175646863,607011735485707,最新升级款一件多功能人体工学抬高垫 透气不闷趴睡枕 床上趴着玩手机看书靠枕 臀部腰部承托 情侣居家多用途舒适垫,21.22,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/1642a4826a5b435f976c70c43139816a-goods.jpeg,0
4,1.3642055588180424,607613701992283,102pcs 橙色 沙白 浅蓝 孔雀蓝 浅粉 乳胶气球 5in 10in 适用于新年 节日背景 生日 迎婴派对 婚礼 情人节 父亲节 母亲节 感恩节 万圣节 圣诞节 复活节 狂欢节 毕业季 开学典礼 主题派对 照片道具 聚会 场地布置 DIY 装饰 送礼会 舞会 夏日派对 周年纪念日 嘉年华,4.01,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/open/6639b2da421847c3864d9eeafff36e5e-goods.jpeg,1
5,1.337315794971225,607070992616482,1pc 井格纹肌理全包沙发套 高弹力耐磨防滑沙发罩 一体式懒人沙发防尘保护套 宠物友好 四季通用 旧沙发翻新 适用于客厅卧室办公室酒店等场景 万圣节 圣诞节家居优选好物（不包含抱枕套）,16.44,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/cae70547-48ea-4dda-bed1-ba6c94a6857f.jpg,1
6,1.3332818324437794,607369694145310,弹力泡泡裙边一体全包椅子套罩防滑四季通用结实耐用 四季通用客厅家用酒店全包套/四个装,26.56,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/ee8a9d8b-4f16-4f68-99b0-c41ef92d29a7.jpg,2
7,1.3324360119077976,607468746830724,1PC 异形秋意 雪尼尔花边沙发垫套罩靠背巾，四季通用家居宠物狗友好，防滑可水洗家具保护垫，卧室、办公室、客厅家居装饰,11.08,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/557b8237-1824-45e6-b5eb-c0351f2dc711.jpg,0
8,1.3216266950799196,607033881417362,秋冬新款加厚提花菱格款绒床笠，加厚设计多种颜色/尺寸可选，保暖柔软。,15.43,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/b3794498-6abf-4d3b-bdd9-cb0a8f5c71fe.jpg,18
9,1.3191260504263327,607475994563945,新款青棱纹提花沙发套 弹力全包沙发罩 家用客厅沙发保护罩 防猫抓可拆洗四季通用沙发垫套 多色可选,27.61,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/887d13c4-ca17-4555-8047-4875843c4357.jpg,7
10,1.3073267794019858,607527668419334,1pc 加厚竖纹肌理沙发套 高弹力防滑耐磨沙发套 一体式四季通用全包防尘沙发保护罩 宠物有好可机洗 旧沙发沙发套 适用于客厅卧室办公室等场景 复活节 圣诞节沙发套装饰套（不含抱枕套）,35.1,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/7af5e3ad-aac8-45d8-936f-7702f6aec99c.jpg,14
11,1.3035532569970345,605737556250155,MOKALALA 1件 波西米亚风曼陀罗图案薄被 - 轻薄透气四季通用，适合家庭酒店宿舍使用，可机洗柔软床罩，现代风格，适用于床、沙发、空调毯,22.85,家居厨房用品,床上用品,https://img.kwcdn.com/product/21140d62aa8/afc4c21f-28ea-4693-9ed3-9e3731276e89_1000x1000.jpeg,0
12,1.2952686405068659,606612974577490,2PCS 2D平面印花，复古几何边框图案抱枕套，橙棕米主色调经典装饰风格，适用于客厅沙发软装、休闲椅靠垫装饰和民宿客房软装，不含枕芯,3.49,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/db006fa98d0f4721a6ec3f9321a2357f-goods.jpeg,28
13,1.2893648668714501,601101280909007,2D平面，1件无框宁静瀑布与繁茂山脉帆布印刷 - 现代经典艺术装饰垂直墙画，客厅、卧室、办公室装饰用鲜艳墨水绿色风景海报 - 宁静自然场景，理想礼物，帆布墙艺术，床房作品，细致森林场景，生动彩色艺术品，2D平面,2.8,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/45cc730d497f4fcb9c445a03d930c3a0-goods.jpeg,4
14,1.2796678936788428,607155751066656,1pc精美礼品枕套 透气枕套 单只装不含枕芯 柔软亲肤 蓝色时尚外观 居家、酒店客房均可使用,1.47,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/2fdc9bee79be42ba9ef4330501b50a79-goods.jpeg,4
15,1.2740291632309224,607448748417232,萌趣狗狗门挡，重型防滑楔形地板保护器，防撞门挡，宠物防护，耐用防刮塑料，无需安装不伤木门地板，趣味治愈家居小摆件，租房居家实用装饰好物，圣诞节、生日送礼独特软装配件。,1.43,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/f80be5c9bdef4fa2abbe3067d6e77af8-goods.jpeg,4
16,1.2737500501189132,606617806447419,31件粉色白色金属粉色气球套件适用于生日 婚礼 派对装饰 粉色节日派对装饰 退休 周年纪念 新娘送礼会 家居室内外派对装饰用品,3.24,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/b159210e-f485-4a19-8eba-af347efb42b1.jpg,59
17,1.2512383102870253,606861411600475,双面银单向隐私隔热遮阳膜，镜面一侧，适用于办公室玻璃窗、厨房阳台、家居卧室，书房等场景的隔热膜，方便安装，静电吸附,8.69,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/054262af-6d77-4172-8729-d1048d8b266e.jpg,9
18,1.2379011970909835,606727932085844,2D平面横幅 1个桌旗，包含泰迪熊、礼物、数字“1”和“HAPPY BIRTHDAY ONE”文字等元素，主题派个装饰，适用于餐桌、咖啡桌、周年纪念、家庭装饰，耐用涤纶,2.12,家居厨房用品,餐厨布艺,https://img.kwcdn.com/product/217a7c24a8/9e2629e8-0315-41bc-a443-6e0c530cbee8_1000x1000.jpeg,17
19,1.2373637564247406,607483108163033,银色窗膜轻松安装窗用隐私膜，静电吸附式反光镜玻璃覆盖层，既能看清外面又不会被看到，可有效阻隔日间阳光热量及紫外线，可拆卸，不留残留物静电款，适用于门窗,2.36,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/c2b464ae09b44a19bc52fb81d3284d35-goods.jpeg,7
20,1.2251662206726674,606898455715519,2026新款多区支撑枕，双曲线设计慢回弹舒适靠垫，贴合身体曲线支撑枕，适用于居家卧室休息，馈赠亲友的实用节日礼品,16.95,家居厨房用品,床上用品,https://img.kwcdn.com/product/aisc_image/algo/opt/56f674c3/ffc53fd1/362cac4834ad43e3a874893ac03cb9ef-goods.jpeg,0
21,1.2235199401547132,606713235256204,单向透明隔热窗膜 适用于玻璃窗户 静电吸附PVC膜 兼具隔热防眩光功能 阻挡阳光 适用于家庭办公室、玻璃门、镜子、窗户 - 可直接粘贴,1.85,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/d9f141a3-7b1f-4cb1-b326-3af66ffd4676.jpg,78
22,1.2194582813550086,601103503980637,"个性化照片帆布墙艺术，支持自定义照片上传——将您的照片印制在帆布与木质画框上——上传您的图像，适合情侣、家庭肖像——理想礼物, 房间装饰, 卧室海报, 墙面艺术印刷品, 海报墙艺术, 墙面装饰画, 艺术作品, 艺术印刷品, 墙面艺术画布",5.79,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/0170d09a261c4a0d88db9b013e257e42-goods.jpeg,13
23,1.219325229286941,607095487317622,绿色格纹桌布，高品质餐桌罩，适用于野餐、派对、烧烤及户外餐饮装饰,7.17,家居厨房用品,餐厨布艺,https://img.kwcdn.com/product/fancy/c62b1602-af6c-4828-af54-99cfaa960444.jpg,30
24,1.2174413017360208,607313591129064,11件14英寸裙夹裤架木色/棕色裤架带挂钩360°旋转钩子夹子可伸缩调整宽度夹裤子裙子方便耐用,22.92,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/open/79920a9216f943ee9f8bc5f648815bed-goods.jpeg,0
25,1.2160360743937095,605742673277419,2D平面设计，2D平面设计，3幅定制姓名海报套装，2D平面设计可选带框或无框。个性化拖拉机艺术画布系列，非常适合家居装饰，适用于客厅和卧室，是艺术爱好者的完美礼物,7.45,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/fancy/32708a86-6c52-4968-8c2d-fe5b6b14ac96.jpg,47
26,1.2083145581707937,607248696877877,96件波西米亚灰尘玫瑰粉红色裸紫红色中性棕色象牙白色气球气球拱门花环套件，婴儿淋浴气球女孩，波西米亚生日婚礼婴儿淋浴派对装饰的女孩,4.33,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/95c37368-97f1-46c3-95f4-a88ff346f209.jpg,107
27,1.201988263788014,606683304714833,1件装框个人化高清帆布印刷品，客制化照片艺术，现代，经典，装饰风格，高品质油墨画布上，卧室、客厅、婚礼、情人节礼物的水平墙壁装饰,1.16,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/fancy/ad17024d-c4ed-4e32-afbf-64315115a1e7.jpg,0
28,1.1966150980904378,606908656277928,复古学院风美拉德格纹织带蝴蝶结diy手工发饰发箍发发夹服装箱包鞋袜帽子玩偶礼盒包装装饰配件饰品材料饰品辅料,2.19,家居厨房用品,节日饰品,https://img.kwcdn.com/product/fancy/e709814c-750c-4e90-b07e-4602996b18e0.jpg,7
29,1.1937271169545944,607447674682804,2D平面，1件复古木制装饰标牌，泰坦尼克号主题 - 复古墙饰，适用于家居、酒吧、餐厅的海洋风格装饰 - 历史爱好者与航海迷的独特礼物，Decorative Sign,1.83,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/8999703d82504a28a5fcd0d5d7e33da3-goods.jpeg,1
30,1.1901806761344083,606868525168355,3pcs轻量级纸质导演板 | 经典电影道具，适用于电影拍摄、派个、生日、婚礼和成人礼 - 导演和演员的理想之选,1.82,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/aef2255e-e046-4130-9b7b-61c462f46139.jpg,6
31,1.189256692672188,606932815474375,红色卡通圣诞沙发保护罩，一体式通用弹力提花，防猫抓耐撕扯，可拆洗轻松打理，四季通用，客厅多场景适用，居家焕新，节日装饰送礼物佳品（不含抱枕套） 4件型号可选择,13.36,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/aisc_image/algo/opt/8000401e/7e100fef/8d090aa4509c4cbd9871f58bd59a6aa4-goods.jpeg,0
32,1.1876530901280862,607511696481251,12个复古牛油果绿，沙白，金属金气球套装，金色亮片乳胶气球，适用于波西米亚风，生日，婚礼，新娘送礼会，复活节、毕业派对、周年纪念日、春日主题庆祝，周岁宴，儿童派对装饰物,1.74,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/fancy/ec07ce49-0886-46d2-a2b0-88e576a0e86b.jpg,11
33,1.1868896347761522,607695172157597,2D平面画作，1件装个性化定制照片帆布印刷品——上传您的图片，适用于客厅、卧室装饰，现代情侣肖像画，定制图片墙壁艺术，可作为婚礼礼物、周年纪念，上传您自己的照片用于家居装饰,2.54,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/fancy/204b8669-32fa-45da-9ce4-e4aefca1176c.jpg,0
34,1.185553627954892,607279231391724,水莲曲线肌理提花沙发套 易安装 耐磨 高弹性 宠物友好型 可机洗沙发套 1/2/3/4人位 适用于旧沙发翻新 家庭客厅、卧室办公室、公寓等场景 复活节圣诞节居家好物,23.55,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/88e9e3a3020c4794b9cdabb048f1eaa3-goods.jpeg,0
35,1.181595023901173,601101056900436,1幅装裱花卉海报 - 复古横版水影帆布画 适用于卧室、办公室 - 带框宁静自然风景画，植物装饰，理想礼物,6.7,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/91a29dc618184a45af98b6096198efbc-goods.jpeg,21
36,1.1703790900963276,606654045243238,100%纯棉床笠 1件装加厚加固不含枕套 柔软透气深口袋床垫罩，防皱舒适床单，适用于所有床垫尺寸，四季通用床垫套，适用于各种家居的搭配,11.12,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/8d8fa4d4217b4649949d141e7e56843f-goods.jpeg,27
37,1.1695862915180053,607342649252814,"1pc Fun-Themed Toilet Bathroom Wall Sticker, Buzz Lightyear Reading Newspaper, Humorous Sticker, Suitable for Bathroom, Toilet And Wall Background Decoration, Christmas And New Year Gift, Cute And Practical Sticker, Easily Creating a Cozy Space",1.35,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/916cf90b3e2d42f9b90638049891a1c4-goods.jpeg,83
38,1.1683412551603904,607146624269636,8件套粉紫蓝气球 K-pop 音乐气球套装，生日派个装饰、充气迪斯科球、音符、音乐、应援音乐会铝膜气球、粉丝俱乐部派个背景装饰,2.43,家居厨房用品,节日聚会用品,https://img.kwcdn.com/product/open/bdd8b4c7975a4ebea8b21ba6c550081a-goods.jpeg,16
39,1.1660033943528156,606608411195691,1个装收纳托盘，单层旋转调味瓶收纳架，家用多功能圆形旋转托盘收纳架，适用于厨房、客厅、浴室和卧室，家居收纳整理，家居用品,14.51,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/Fancyalgo/VirtualModelMatting/89bdf8e6215b6225037ed713a51267bd.jpg,6
