排名,预测分,商品ID,标题,美元价格($),cat_l1,cat_l2,main_url,总销量
1,1.39892175646863,607011735485707,最新升级款一件多功能人体工学抬高垫 透气不闷趴睡枕 床上趴着玩手机看书靠枕 臀部腰部承托 情侣居家多用途舒适垫,21.22,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/1642a4826a5b435f976c70c43139816a-goods.jpeg,0
2,1.3324360119077976,607468746830724,1PC 异形秋意 雪尼尔花边沙发垫套罩靠背巾，四季通用家居宠物狗友好，防滑可水洗家具保护垫，卧室、办公室、客厅家居装饰,11.08,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/557b8237-1824-45e6-b5eb-c0351f2dc711.jpg,0
3,1.3035532569970345,605737556250155,MOKALALA 1件 波西米亚风曼陀罗图案薄被 - 轻薄透气四季通用，适合家庭酒店宿舍使用，可机洗柔软床罩，现代风格，适用于床、沙发、空调毯,22.85,家居厨房用品,床上用品,https://img.kwcdn.com/product/21140d62aa8/afc4c21f-28ea-4693-9ed3-9e3731276e89_1000x1000.jpeg,0
4,1.2504308912066617,607095084692091,1件纯色超柔软牛奶绒床笠（不包含枕套），加厚保暖舒适床垫保护套，松紧深袋设计，360度贴合包裹抗皱易打理，防滑不移位，适用于卧室公寓酒店宿舍，可以机洗水洗,10.31,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/fc6a93ff-a74d-464e-94ab-f639dfec6e22.jpg,0
5,1.2302380414303669,606808798267264,1件提花珊瑚绒床笠，柔软毛绒床垫套，带深口袋和松紧带，可伸缩床单不会掉，适用于2-10英寸厚的床垫的舒适保暖床上用品，多种尺寸,34.89,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/d1a26b693f884e529c562788a6232f5d-goods.jpeg,0
6,1.230111298523843,607324395660335,1pc 水莲高弹力暗纹全包沙发套 防滑耐磨沙发套 一体式懒人防尘沙发保护罩 宠物友好 四季通用 可机洗1/2/3/4人位 万圣节 圣诞节客厅卧室沙发装饰套,24.78,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/fancy/3733e24e-9a47-48bc-8e7d-5c2d1aae4b20.jpg,0
7,1.2251662206726674,606898455715519,2026新款多区支撑枕，双曲线设计慢回弹舒适靠垫，贴合身体曲线支撑枕，适用于居家卧室休息，馈赠亲友的实用节日礼品,16.95,家居厨房用品,床上用品,https://img.kwcdn.com/product/aisc_image/algo/opt/56f674c3/ffc53fd1/362cac4834ad43e3a874893ac03cb9ef-goods.jpeg,0
8,1.2174413017360208,607313591129064,11件14英寸裙夹裤架木色/棕色裤架带挂钩360°旋转钩子夹子可伸缩调整宽度夹裤子裙子方便耐用,22.92,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/open/79920a9216f943ee9f8bc5f648815bed-goods.jpeg,0
9,1.201988263788014,606683304714833,1件装框个人化高清帆布印刷品，客制化照片艺术，现代，经典，装饰风格，高品质油墨画布上，卧室、客厅、婚礼、情人节礼物的水平墙壁装饰,1.16,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/fancy/ad17024d-c4ed-4e32-afbf-64315115a1e7.jpg,0
10,1.1966751580633266,606710014015330,264.55LB 承重最新设计全合一人体工学增高支撑垫 透气柔软睡眠枕床头靠垫看电视阅读支撑垫腰部和臀部科学支撑家用男女通用舒适,30.97,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/10bf8b5b525e4418ae2c0a990fe6e275-goods.jpeg,0
