排名,预测分,商品ID,标题,美元价格,一级类目,二级类目,主图URL,商品链接,来源文件,banned,banned_hits,img_missing,总销量
1,1.2927576548821738,605513496547449,单个保温午餐盒，采用粉彩紫和粉色龙设计，非常适合用餐和野餐。这款包非常适合户外用餐体验和在海滩享受用餐（非食品接触）,3.59,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/open/0f84b1cb8ee04a37a8b814621a5a41cb-goods.jpeg,https://www.temu.com/search_result.html?search_key=605513496547449&search_method=user,917.csv,False,,True,2
2,1.2522557447178675,601101644699892,"Thickened Black Trash Bags, Portable Household Large Kitchen Waste Cleaning Plastic Bags",7.09,家居厨房用品,清洁用品,https://img.kwcdn.com/product/fancy/2c16d6fd-b0d1-4e4d-a3ec-54f0c9d3659d.jpg,https://www.temu.com/search_result.html?search_key=601101644699892&search_method=user,917.csv,False,,True,6
3,1.2374717852583492,607628331707030,1个创意便携式布艺衣架，出差可折叠晾衣夹，浴室折叠衣架，晾衣夹，紧凑型可折叠衣架，高效晾晒袜子，晾衣夹，晾衣夹子,1.76,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/fancy/6caf8573-f809-434d-b8fb-42c13cbf3772.jpg,https://www.temu.com/search_result.html?search_key=607628331707030&search_method=user,917.csv,False,,False,0
4,1.2333873953951815,606650152939881,7pcs，随机颜色，卧室多功能连接挂钩衣架，叠加衣架带通用挂钩节省空间多层衣架,1.79,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/fancy/187d1d15-c332-4eb7-97a1-aa3415ceee55.jpg,https://www.temu.com/search_result.html?search_key=606650152939881&search_method=user,917.csv,False,,False,0
5,1.2253375001170117,605517506285410,500ml双层不锈钢保温杯 17oz复古水彩紫木槿与粉玫瑰花卉印花运动水壶 女士户外便携车载随行杯 密封防漏真空保冷温水杯 创意可乐瓶形状咖啡杯 适合日常通勤瑜伽健身登山车载旅行 母亲节精美礼品杯,14.98,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/open/3b47a49125a14ebcab77d311e8ea4c7b-goods.jpeg,https://www.temu.com/search_result.html?search_key=605517506285410&search_method=user,917.csv,False,,True,10
6,1.2228489436268566,605732791506713,紫蝶花500毫升-DBWBC/16.9盎司 冷热两用真空保温杯 不锈钢双层隔热旅行杯 真空防漏杯/冷饮杯 适用于办公室、运动、开学季礼品,12.82,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/open/acb3b6a7099340768946b66a23f25797-goods.jpeg,https://www.temu.com/search_result.html?search_key=605732791506713&search_method=user,917.csv,False,,True,0
7,1.191145892917491,601105130240322,1个17盎司（500毫升）可定制个性化杯，可用您的姓名定制。它采用双层真空设计，不锈钢隔热，并配有吸管和盖子。这款二合一咖啡杯具有闪亮的玫瑰金色边缘。,12.03,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/fancy/835d25c0-b456-415e-9872-9d2de6d92a08.jpg,https://www.temu.com/search_result.html?search_key=601105130240322&search_method=user,917.csv,False,,True,9
8,1.1901172783631808,605507641299839,创意啤 饮品 泡沫与水滴纹理印花304不锈钢保温杯 500ml双层真空运动水壶 17oz户外便携车载水杯 随行咖啡直饮杯 密封防漏大容量冷热两用杯 简约时尚男女通用上班族旅行健身保冷杯 礼品杯,10.37,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/open/25146ee9de1b49ab8eb0590f3439202e-goods.jpeg,https://www.temu.com/search_result.html?search_key=605507641299839&search_method=user,917.csv,False,,True,3
9,1.1853738521724777,601102643935057,"JIT, 脏衣篓,粉色、蓝色渐变线条与黑白星星相结合图案,聚酯纤维,带把手储物篮,圆形脏衣篮,便携式可折叠,多用途收纳筐,家居装饰/收纳用品,洗衣篮,卧室洗衣房宿舍收纳篮,玩具收纳篮,大容量储物篮",9.74,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/fancy/49424a33-f3b8-4252-9d9f-b3ff49c01186.jpg,https://www.temu.com/search_result.html?search_key=601102643935057&search_method=user,917.csv,False,,True,0
10,1.1732220611161563,605552939790868,1个装 11盎司陶瓷杯，采用感温变色工艺，饰有原住民点彩艺术风格的日落自然景观主题图案，适用于家庭办公桌面、晨间咖啡时光、生日惊喜庆祝、圣诞派对赠礼及日常饮茶放松,13.16,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2123a62c90/763d73b6-bbb3-426b-8b80-2df24519b49a_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=605552939790868&search_method=user,917.csv,False,,True,2
11,1.1627572640444803,606608277000472,10米/393.7英寸尼龙绳搭配挂钩，用于固定和拖拽物品，露营配件，室内外晾衣绳，绳索颜色随机，晾衣绳,3.93,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/open/a02fa607e6dd4d308f4ef85437b1afb9-goods.jpeg,https://www.temu.com/search_result.html?search_key=606608277000472&search_method=user,917.csv,False,,False,0
12,1.1507416042410243,605552285469188,"1 Reusable Banana Storage Bag, Food-Grade Nylon Drawstring Bag, Keeps Fruits And Vegetables Fresh for Longer, Refrigerator Vegetable And Fruit Anti-Ripening Storage Bag",1.42,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/fancy/098280df-6f06-4c73-b675-c9fc87335af3.jpg,https://www.temu.com/search_result.html?search_key=605552285469188&search_method=user,917.csv,False,,True,15
14,1.1369064108455815,607116156864314,金属衣架夹 9个装 多用途重型衣架挂钩 防滑夹挂钩 适用于裤子裙子袜子 衣柜节省空间整理器,3.11,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/fancy/1e41a0f9-3592-4954-a8ef-d7e87933babf.jpg,https://www.temu.com/search_result.html?search_key=607116156864314&search_method=user,917.csv,False,,False,0
16,1.1354024376834675,605756749361262,创意黑白足球印花不锈钢保温杯 17oz个层真空保冷保热运动水壶 500ml便携车载流线型咖啡杯 户外健身骑行登山旅行随手杯 304不锈钢内胆防漏男女士便携式时尚茶杯 办公室居家车载多功能水杯,13.1,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/open/8004f301e402429493c3b53ed86c1458-goods.jpeg,https://www.temu.com/search_result.html?search_key=605756749361262&search_method=user,917.csv,False,,True,9
17,1.1203591258155094,606754305872481,3D打印岩石纹理首饰托盘 - 黑色不规则石纹饰品盘配石板，适用于戒指、耳环、项链收纳，现代多功能梳妆台、梳妆柜杂物盘 - 塑料材质，专为小件饰品设计,3.47,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/open/65bc214e7ad948a995d178b1ec1f09ea-goods.jpeg,https://www.temu.com/search_result.html?search_key=606754305872481&search_method=user,917.csv,False,,False,0
18,1.120328094818994,606814435442493,6件1套（送5个配件）壁挂式帽架收纳器-耐用的塑料，兼容10顶帽子，带强力粘胶背，棒球帽储物架、墙壁帽架、便携且节省空间，个悬挂方式，适用于棒球帽、壁橱、卧室、运动室-非常适合家庭、办公室。,4.38,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/fancy/5612ec73-d18a-44f6-8a0f-7e57c61c6126.jpg,https://www.temu.com/search_result.html?search_key=606814435442493&search_method=user,917.csv,False,,False,19
19,1.1192106688495915,601100284357499,"Three Pairs of Household Cleaning Gloves Designed for Kitchen Use, Ideal for Cleaning Both The Kitchen And Bathroom While Keeping Your Hands Dry.",9.03,家居厨房用品,清洁用品,https://img.kwcdn.com/product/open/2024-08-08/1723098486624-8875ead822124cfc82945dd9371ea737-goods.jpeg,https://www.temu.com/search_result.html?search_key=601100284357499&search_method=user,917.csv,False,,True,0
20,1.11065578449113,607541492850632,三层悬挂篮，重型钢丝悬挂篮，阳台悬挂篮，储物篮，置物篮,48.69,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/fancy/2da572b1-f674-4889-be32-27e1230accbe.jpg,https://www.temu.com/search_result.html?search_key=607541492850632&search_method=user,917.csv,False,,False,1
21,1.1085092277773243,606718335490507,极简主义白色方形敞口垃圾桶、大容量塑料垃圾篮、适用于卧室、浴室、厨房、办公室和大学宿舍的多功能垃圾桶,7.32,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/open/8ac7168453be414197f55435429effd9-goods.jpeg,https://www.temu.com/search_result.html?search_key=606718335490507&search_method=user,917.csv,False,,False,15
23,1.097962524699134,607006635173608,复古风格的绿色金属储物箱，配有铜扣和铆钉装饰，工业设计，适合家庭整理、学习储物，怀旧主题装饰，适合复古家居场景或秋季氛围布置，床下储物,7.23,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/open/e59eeccb65ac411894a744ffea241b11-goods.jpeg,https://www.temu.com/search_result.html?search_key=607006635173608&search_method=user,917.csv,False,,False,1
24,1.096476535652282,601103392338303,"1pc 34oz Vacuum Insulated Kettle & Flask - Yin Yang Tree Design, 316 Stainless with Hot/ Retention for Camping,, Gym, Parties - Multi-Use Coffee Maker & Tea Pot Gift for Outdoor Adventures,",23.03,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/20150c2239a/36a9c775-2082-4547-b99c-cdddfbd10e4d_800x800.jpeg,https://www.temu.com/search_result.html?search_key=601103392338303&search_method=user,917.csv,False,,True,5
25,1.0941850550941732,601104142554707,一款17.5盎司不锈钢水瓶，设计防漏，采用花卉水彩设计，非常适合作为礼物,11.79,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2066d912e4/95c9bcde-a509-40d6-8783-d0812d13643f_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=601104142554707&search_method=user,917.csv,False,,True,15
27,1.0855062320295314,601101373472883,"定制棒球手提袋 - 个性化的 ""JASON"" 名字，配有棒球和球棒设计，耐用的黄麻购物袋，适合棒球迷、团队礼物和运动主题装饰，棒球房间装饰",12.46,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/open/9d7ca24ff7a94b4f881a11d721e5cb8f-goods.jpeg,https://www.temu.com/search_result.html?search_key=601101373472883&search_method=user,917.csv,False,,True,6
28,1.0852725420850853,605799363505485,1个 - 带即取式提手的可折叠圆形洗衣篮 - 现代无布艺脏衣篓，适用于卧室、宿舍、房间、储物 - 节省空间的衣物收纳筐，可放置内衣、毛巾等小件衣物,9.77,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/2123a604d8/5ec8c894-a369-4360-b3f1-0c717575ac4e_1000x1000.jpeg,https://www.temu.com/search_result.html?search_key=605799363505485&search_method=user,917.csv,False,,True,0
29,1.079610062654507,601105418452487,"A 20-Ounce Portable Insulated Cup, Stainless Steel Coffee Mug, Hot Water Cup, And Cold Cup Featuring a Seaside View And a Sun- Landscape Design, Suitable for Travel, Corporate Gifts, Employee Rewards, Gifts for Teachers, Colleagues, Study, Outings",16.98,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/fancy/5db29b60-d43b-4c4b-b1f8-c2442b459cf6.jpg,https://www.temu.com/search_result.html?search_key=601105418452487&search_method=user,917.csv,False,,True,0
30,1.0757788785991855,606905636370074,1件 魔法森林绿龙洗衣篮，带把手 可折叠，适用于洗衣房、浴室、宿舍、衣帽间、卧室、衣柜家居整理收纳衣物和杂物，家居装饰与日常洗衣整理功能收纳篮,7.53,家居厨房用品,衣橱收纳,https://img.kwcdn.com/product/fancy/ec1455fb-adb3-49aa-9789-1aac36b6ffd2.jpg,https://www.temu.com/search_result.html?search_key=606905636370074&search_method=user,917.csv,False,,False,1
31,1.0755873973678585,601104508376622,"1pc Red Truck Christmas Tumbler with Straw & Lid - 20oz/600ml Insulated Stainless Steel Cup, Vintage Winter Snow Scene (Candy Canes/Holly/Truck) - Double-Wall Insulated Bottle Mug for Coffee, Hot/Cold Drinks, Durable Travel Cup for Car, Gym, Office",17.83,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/2066d91624/b232603b-f9a8-416e-8328-eba6d50a810d_1200x1200.jpeg,https://www.temu.com/search_result.html?search_key=601104508376622&search_method=user,917.csv,False,,True,6
33,1.065703917520237,607289297702130,1个男士礼品手表盒，单个仿皮展示盒带透明盖，用于旅行收纳和珠宝首饰收纳手表盒，珠宝盒,3.63,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/open/7da6e07c05d247c8983a2b40c2650810-goods.jpeg,https://www.temu.com/search_result.html?search_key=607289297702130&search_method=user,917.csv,False,,False,0
34,1.059009531423151,607105151041479,80只装透明塑料酱料杯带翻盖盖子 - 防漏防水，适用于餐饮、烧烤、户外 | 可重复使用、耐污、耐用的容器 | 带盖且稳固，适用于调味品、沙拉酱、调料,6.08,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/open/0a786b3fad3d4cdcb103570ba683edb9-goods.jpeg,https://www.temu.com/search_result.html?search_key=607105151041479&search_method=user,917.csv,False,,False,2
35,1.0567066640015623,601104785140290,"3pcs Stainless Steel Shower Robe And Towel Hook Set - Over-The-Door Bathroom Organizer with Hooks, No-Tool Installation, Modern Minimalist Design, Space-Saving And Rust-Resistant",7.23,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/open/202569261ab248429e5c31ada4bded4d-goods.jpeg,https://www.temu.com/search_result.html?search_key=601104785140290&search_method=user,917.csv,False,,True,0
36,1.0515714474635327,606505013210646,大型气球套装 4个装，气球运输袋，透明巨型收纳袋，大尺寸 59X98 英寸 x 2个，小尺寸 47X59 英寸 x 2个，可用于存放圣诞树、沙发和行李箱，树木收纳,22.3,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/fancy/36f7b8b1-5926-4476-b002-6e966b56ae75.jpg,https://www.temu.com/search_result.html?search_key=606505013210646&search_method=user,917.csv,False,,False,0
