排名,预测分,商品ID,标题,美元价格,一级类目,二级类目,主图URL,商品链接,来源文件,banned,banned_hits,img_missing,总销量
2,1.9360447816431487,607232389435905,多功能开罐器和开罐器 - 重型人体工学防滑设计，适合老年人和关节炎手轻松打开，适合紧盖、瓶子、罐子的厨房小工具（包括额外功能）,1.58,家居厨房用品,餐厅用品,https://img.kwcdn.com/product/fancy/0fb274ba-6436-48fc-b737-3f4913f4f270.jpg,https://www.temu.com/search_result.html?search_key=607232389435905&search_method=user,915.csv,False,,True,0
3,1.9166568977683829,607258561867554,波西米亚风藏青白花卉抱枕套两件套 - 现代波西米亚风格，可机洗材质，拉链开合，适用于沙发装饰，室内外皆宜，家居装饰 | 波西米亚风,8.97,家居厨房用品,沙发装饰,https://img.kwcdn.com/product/open/36bd918af5a6488a9b36f2bdda27c972-goods.jpeg,https://www.temu.com/search_result.html?search_key=607258561867554&search_method=user,915.csv,False,,True,0
5,1.912144991925288,607328757712913,多层悬浮置物架 墙壁展示架 收纳架 壁挂式香薰装饰架 分层墙面储物桌 极简风墙壁展示板 专为租客、家居装饰爱好者、潮流玩具收藏家及办公室桌面收纳设计 悬浮置物架,5.32,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/fancy/d4611897-793a-46a8-9756-d63fdcd39ba0.jpg,https://www.temu.com/search_result.html?search_key=607328757712913&search_method=user,915.csv,False,,True,0
7,1.851397525873813,601103362115099,隐私单向镜面窗膜 适用于玻璃门 - 静电吸附波西米亚风PET玻璃贴膜，用于家庭、办公室、厨房、门镜的隐私遮挡板，可粘贴安装,4.78,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/open/384d68f28dfd4471a6e647ff88cbfaba-goods.jpeg,https://www.temu.com/search_result.html?search_key=601103362115099&search_method=user,915.csv,False,,True,0
9,1.8453968815101136,606830273108417,1件 不锈钢海绵置物架-无钻孔式自粘式厨房水槽收纳器，空间节省型排水架配海绵储存空间，厨房浴室收纳用品，防锈材质，实用挂钩，厨房水槽收纳器，海绵置物架，布挂架,0.96,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/open/8055914ea8654b3ea4f97b2fd1933e8f-goods.jpeg,https://www.temu.com/search_result.html?search_key=606830273108417&search_method=user,915.csv,False,,True,0
11,1.82601576738046,607312920075717,可爱创意“弯腰”造型纸巾盒和桌面分配器；兼具玄关钥匙架和装饰收纳架。适合在客厅、玄关或卧室中存放纸巾。,9.83,家居厨房用品,浴室用品,https://img.kwcdn.com/product/open/690e01aae53e4659bdffc8a051ce3767-goods.jpeg,https://www.temu.com/search_result.html?search_key=607312920075717&search_method=user,915.csv,False,,True,2
12,1.8257723268006096,606976838864645,2个真空吸盘挂钩，免打孔墙壁挂钩，厨房洗碗布挂钩，厨房手套挂钩，保持厨房台面整洁（金色/亮银可选）,3.64,家居厨房用品,厨房收纳,https://img.kwcdn.com/product/open/322318c044334a3789c6fd9ea660dc2d-goods.jpeg,https://www.temu.com/search_result.html?search_key=606976838864645&search_method=user,915.csv,False,,True,0
14,1.819199836817897,607060590737009,1 个自粘壁挂眼镜收纳座，免打孔壁挂眼镜收纳架，实用墨镜收纳架，卧室床头、浴室墙壁可用,1.56,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/open/b44873a85a2b4b638ba46374692fd426-goods.jpeg,https://www.temu.com/search_result.html?search_key=607060590737009&search_method=user,915.csv,False,,True,2
16,1.8093019384744,606693102563599,一件轻松舒适可裸睡的床单，可机洗，无枕套,15.59,家居厨房用品,床上用品,https://img.kwcdn.com/product/open/9c5836f8ee584448a885d121ec4c5f2c-goods.jpeg,https://www.temu.com/search_result.html?search_key=606693102563599&search_method=user,915.csv,False,,True,0
17,1.8061853473278977,607310772555026,4个装水和肥料皂盒，浴室用，无缝吸盘，壁挂式浴室，免打孔皂盒，皂盒,12.33,家居厨房用品,浴室用品,https://img.kwcdn.com/product/fancy/e800172e-e194-4ee9-8e68-b3a435116495.jpg,https://www.temu.com/search_result.html?search_key=607310772555026&search_method=user,915.csv,False,,True,0
18,1.7932849436140317,607232389386740,抱枕套，仿皮抱枕，经典款，北欧风格，2件装正方形抱枕套，独立原创,7.0,家居厨房用品,床上用品,https://img.kwcdn.com/product/fancy/340d9374-fa7b-4c0a-857b-cd5a9203c035.jpg,https://www.temu.com/search_result.html?search_key=607232389386740&search_method=user,915.csv,False,,True,10
19,1.792173567932115,606929191572146,1件装 现代简约椭圆形硅胶梳妆托盘 - 哑光白抛光，适用于香水、珠宝、化妆品收纳，多功能浴室与厨房台面储物，装饰性纯色置物架，非食品接触用,2.91,家居厨房用品,家居装饰,https://img.kwcdn.com/product/fancy/8b61c9f8-e317-42e3-9446-794bd8852afa.jpg,https://www.temu.com/search_result.html?search_key=606929191572146&search_method=user,915.csv,False,,True,5
22,1.7797253976878415,607111190797226,1个圣诞驯鹿手杖糖果窗户贴纸，节日气氛装饰，适用于卧室和客厅窗户，可移除贴纸，哑光表面美化装饰,1.34,家居厨房用品,窗饰及配件,https://img.kwcdn.com/product/fancy/7b75e532-ee4c-407d-a3c4-cf1950213cd1.jpg,https://www.temu.com/search_result.html?search_key=607111190797226&search_method=user,915.csv,False,,True,0
27,1.7706710928851717,607166622717819,127件创意照片卡和贴纸套装，55张个面印刷照片卡和72张贴纸，粉丝收藏礼物，适用于笔记本墙派个背景装饰,2.81,家居厨房用品,家居装饰,https://img.kwcdn.com/product/fancy/791a4786-01d6-4661-b099-058778f17b43.jpg,https://www.temu.com/search_result.html?search_key=607166622717819&search_method=user,915.csv,False,,True,1
28,1.7692196956431985,607674771038041,23个大型粘性挂钩，透明重型挂钩，专为墙面安装设计，可承重高达44磅，可移除且不留痕迹，适用于毛巾、钥匙、外套、花环、照片、多用途挂钩,3.36,家居厨房用品,家庭收纳,https://img.kwcdn.com/product/open/22bd8eb42b904213ba4d712b2956e23d-goods.jpeg,https://www.temu.com/search_result.html?search_key=607674771038041&search_method=user,915.csv,False,,True,0
30,1.7394343047703418,607175212651087,复古窗门蛋糕边框硅胶模具 门饰翻糖蛋糕装饰工具 纸杯蛋糕糖果巧克力模具 烘焙配件,2.06,家居厨房用品,烘焙用品,https://img.kwcdn.com/product/open/2024-09-11/1726025196529-2ed4f827cc394e458679f638a69f67fb-goods.jpeg,https://www.temu.com/search_result.html?search_key=607175212651087&search_method=user,915.csv,False,,True,1
