排名,预测分,商品ID,标题,美元价格,一级类目,二级类目,主图URL,商品链接,来源文件,banned,banned_hits,img_missing,总销量
398,1.1080174546274622,601099558781706,1pc质朴的木制相框，浪漫的“你永远是我的永远”相框，订婚夫妇的理想礼物，蜜月回忆礼物 - 桌面和壁挂式装饰,9.32,家居厨房用品,家居装饰,https://img.kwcdn.com/product/open/2024-03-30/1711784734770-2a3f4f97dfc04b9da91f213fb8ec84db-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099558781706&search_method=user,914.csv,False,,True,2
6606,0.26833068695426765,601099568993042,3双防水PVC洗碗手套，无铅厨房清洁手套，防滑家用洗衣手套，耐用的家务手套，用于清洁用品-返校必备,5.41,家居厨房用品,清洁用品,https://img.kwcdn.com/product/open/2024-04-22/1713794637750-b7546472d621417ca30d5c4970cb61cb-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099568993042&search_method=user,914.csv,True,家用,False,0
1058,0.8440934576068897,601099705042858,4 件无框向日葵励志墙艺术印刷品励志向日葵爱好者礼物家居装饰客厅装饰卧室装饰墙艺术 8*10 英寸,7.3,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/fancy/254f6f49-c5d8-45a4-b61d-8bd8c60284b5.jpg,https://www.temu.com/search_result.html?search_key=601099705042858&search_method=user,914.csv,False,,False,1
2254,0.5930117658089272,601099706556922,6 件无框励志恐龙壁画室内装饰励志名言壁饰卧室正面鼓励名言艺术印刷品日常确认单词壁画,10.4,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/2024-10-11/1728631009069-1ba108c203f14d539beca28ae0c7234a-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099706556922&search_method=user,914.csv,False,,False,8
1305,0.770096212678792,601099706597759,2D平面，2D平面，6件套幽默浴室装饰品，黑猫墙 आर्ट，极简主义美学印花，适用于客厅和卧室墙壁，无框,8.88,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/2024-10-11/1728631772967-8207f074d1384c12a999860a41c0056a-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099706597759&search_method=user,914.csv,False,,False,3
1519,0.7173758304784859,601099707483241,6件套野生动物探险墙艺术套装 - 无框动物印花，适用于丛林风格房间装饰，客厅和卧室完美搭配，尺寸8x10英寸,10.17,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/2024-10-11/1728662045595-b76a8e09bdc74b23996c4d87e9b5acc6-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099707483241&search_method=user,914.csv,False,,False,3
5,1.553914234534706,601099707507119,6 件简约浴室幽默墙艺术印刷品，现代卡通无框海报，用于家庭、客厅、卧室、宿舍装饰，幽默短语，8x10 英寸，其他主题,12.37,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/2024-10-11/1728662308194-e8e51243367b4a75be9a8e0ba8ddbb6b-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099707507119&search_method=user,914.csv,False,,True,3
152,1.2625962156738286,601099707516859,6 件波西米亚时尚墙壁艺术印刷品，黑人女性与绿色植物，现代简约无框海报，8x10 英寸，适用于卧室和客厅装饰,17.18,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/2024-10-11/1728663888813-cfe4ddf125cd426ca10355dd7824964f-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099707516859&search_method=user,914.csv,False,,True,5
1506,0.7199699979598334,601099707525461,3 件无框猫圣诞墙艺术圣诞猫装饰 Meowy 圣诞小猫猫海报墙壁装饰圣诞图片墙壁圣诞海报圣诞装饰 8*10 英寸,5.13,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/2024-10-11/1728662425117-81784e7ef8f14a3fbea95506b34f97ff-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099707525461&search_method=user,914.csv,False,,False,1
461,1.0818064968266532,601099707539539,3 件套粉色蝴蝶墙壁艺术印刷品，无框海报，适用于女孩房间、卧室和客厅装饰,11.39,家居厨房用品,墙面装饰,https://img.kwcdn.com/product/open/2024-10-11/1728663413280-e2fc0e6f5a4f4b46b99d0e855bf2aff3-goods.jpeg,https://www.temu.com/search_result.html?search_key=601099707539539&search_method=user,914.csv,False,,False,3
